AL EAST,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500
Baltimore Orioles,101,61,.623,-,-,6-4,L1,807,678,+129,94-68,49-32,52-29,51-39
Tampa Bay Rays,99,63,.611,2.0,+11.0,6-4,W2,860,665,+195,100-62,53-28,46-35,48-44
Toronto Blue Jays,89,73,.549,12.0,+1.0,4-6,L2,746,671,+75,89-73,43-38,46-35,43-50
New York Yankees,82,80,.506,19.0,6.0,6-4,L1,673,698,-25,78-84,42-39,40-41,47-46
Boston Red Sox,78,84,.481,23.0,10.0,3-7,W1,772,776,-4,81-81,39-42,39-42,51-55
AL Central,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500
Minnesota Twins,87,75,.537,-,-,7-3,L1,778,659,+119,93-69,47-34,40-41,37-36
Detroit Tigers,78,84,.481,9.0,10.0,7-3,W2,661,740,-79,73-89,37-44,41-40,31-54
Cleveland Guardians,76,86,.469,11.0,12.0,4-6,L2,662,697,-35,77-85,42-39,34-47,41-45
Chicago White Sox,61,101,.377,26.0,27.0,3-7,L3,641,841,-200,61-101,31-50,30-51,26-59
Kansas City Royals,56,106,.346,31.0,32.0,6-4,W1,676,859,-183,64-98,33-48,23-58,25-60
AL West,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500
Houston Astros,90,72,.556,-,-,6-4,W4,827,698,+129,93-69,39-42,51-30,42-43
Texas Rangers,90,72,.556,-,-,6-4,L1,881,716,+165,96-66,50-31,40-41,42-45
Seattle Mariners,88,74,.543,2.0,-,4-6,W1,758,659,+99,91-71,45-36,43-38,38-48
Los Angeles Angels,73,89,.451,17.0,15.0,4-6,W1,739,829,-90,73-89,38-43,35-46,35-63
Oakland Athletics,50,112,.309,40.0,38.0,4-6,L1,585,924,-339,49-113,26-55,24-57,22-76
NL East,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500
Atlanta Braves,104,58,.642,-,-,7-3,L1,947,716,+231,101-61,52-29,52-29,55-33
Philadelphia Phillies,90,72,.556,14.0,+6.0,7-3,W1,796,715,+81,89-73,49-32,41-40,47-43
Miami Marlins,84,78,.519,20.0,-,5-5,L1,666,723,-57,75-87,46-35,38-43,38-50
New York Mets,75,87,.463,29.0,9.0,4-6,L1,717,729,-12,80-82,43-38,32-49,45-57
Washington Nationals,71,91,.438,33.0,13.0,4-6,W1,700,845,-145,67-95,34-47,37-44,39-63
NL Central,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500
Milwaukee Brewers,92,70,.568,-,-,6-4,W1,728,647,+81,90-72,49-32,43-38,51-38
Chicago Cubs,83,79,.512,9.0,1.0,4-6,L1,819,723,+96,90-72,45-36,38-43,38-51
Cincinnati Reds,82,80,.506,10.0,2.0,3-7,L2,783,821,-38,77-85,38-43,44-37,41-47
Pittsburgh Pirates,76,86,.469,16.0,8.0,5-5,W1,692,790,-98,71-91,39-42,37-44,40-62
St. Louis Cardinals,71,91,.438,21.0,13.0,4-6,W2,719,829,-110,71-91,35-46,36-45,45-56
NL West,W,L,PCT,GB,WCGB,L10,STRK,RS,RA,DIFF,X-W/L,HOME,AWAY,>.500
Los Angeles Dodgers,100,62,.617,-,-,6-4,W1,906,699,+207,100-62,53-28,47-34,52-36
Arizona Diamondbacks,84,78,.519,16.0,-,4-6,L4,746,761,-15,80-82,43-38,41-40,40-50
San Diego Padres,82,80,.506,18.0,2.0,8-2,W5,752,648,+104,92-70,44-37,38-43,40-51
San Francisco Giants,79,83,.488,21.0,5.0,3-7,L1,674,719,-45,76-86,45-36,34-47,46-55
Colorado Rockies,59,103,.364,41.0,25.0,3-7,W1,721,957,-236,60-102,37-44,22-59,31-72
